景点名字,经纬度,地址,已售票数
象山传奇,"110.302473,25.275086",广西桂林市象山区象山景区内,6
聚龙潭奇石宫,"110.492539,24.737519",广西省桂林阳朔县马山脚下大榕树南0.3公里,2
帝景号游轮,"110.3136,25.293792",广西桂林市七星区临江路250号漓江景区内,62
七仙峰茶场,"110.500286,24.854346",广西桂林市阳朔县白沙镇蕉芭林村,31
阳朔漓水古越剧场,"110.49915,24.754657",广西省桂林市阳朔县十里画廊风景区图腾古道内,61
穿山公园,"110.311976,25.258046",广西壮族自治区桂林市穿山小街55号,2
兴坪古镇,"110.532904,24.922843",广西省桂林市阳朔县兴坪镇景区,30
两江四湖解放桥码头,"110.30983,25.281572",广西省桂林市七星区解放桥码头,4
桂林山水间,"110.304558,25.27905",广西壮族自治区桂林市秀峰区滨江路12号,8
南溪山景区,"110.293545,25.255652",广西省桂林市象山区中山南路2号,6
日月双塔文化公园,"110.301227,25.277713",广西省桂林市秀峰区文明路榕杉湖景区内,16
义江缘,"110.081659,25.41549",广西省桂林市临桂县五通镇321国道旁,44
黄布倒影,"110.515181,24.913233",广西桂林阳朔县兴坪镇漓江,4
木龙湖,"110.304887,25.29758",广西壮族自治区桂林市叠彩区中山北路,8
十二滩漂流,"110.083113,25.585709",广西壮族自治区桂林市临桂县宛田乡大喉桂林十二滩景区,32
訾洲公园,"110.31092,25.279591",广西壮族自治区桂林市七星区穿山路44号,6
罗山湖玛雅水上乐园,"110.066536,25.247309",广西省桂林市临桂县罗山水库旁,24
侗情水庄景区,"110.298072,25.149837",广西壮族自治区桂林市象山区象塘路331号,75
龙脊峡漂流,"110.083413,25.72716",广西省桂林市龙胜县和平乡大寨村,4
猫儿山,"110.494021,25.862922",广西壮族自治区桂林市兴安县高寨村北部,36
漓江源峡谷,"110.479845,25.860231",广西桂林市兴安县华江乡高寨村,2
桂林动物园,"110.32175,25.276802",广西桂林市七星区七星路1号,28
龙胜温泉旅游度假区,"110.218875,25.904058",广西省桂林市龙胜县龙胜温泉度假中心,10
荔江湾,"110.339791,24.446603",广西省桂林市荔浦县青山镇,10
乾龙天坑,"110.144183,24.997945",广西省桂林市永福县罗锦镇金钟山旅游度假区,45
