景点名字,经纬度,地址,已售票数
成都欢乐谷,"104.040108,30.729181",四川省成都市金牛区西华大道16号（近北三环交大立交）,1246
鸣沙山月牙泉,"94.68349,40.099644",甘肃省酒泉敦煌市,1284
恭王府,"116.393097,39.942341",北京市西城区什刹海前海西街17号,1606
慕田峪长城,"116.57035,40.437612",北京市怀柔区慕田峪村,1486
颐和园,"116.276887,39.999497",北京市海淀区新建宫门路19号,1730
沙坡头旅游区,"105.010609,37.47778",宁夏回族自治区中卫市沙坡头区迎水桥镇,892
上海欢乐谷,"121.22218,31.102491",上海市松江区佘山镇林湖路888号,1796
玉龙雪山,"100.270093,27.034011",云南省丽江市玉龙纳西族自治县,1624
呀诺达热带雨林,"109.673664,18.456698",海南省保亭黎族苗族自治县三道农场呀诺达雨林文化旅游区,1042
西江千户苗寨,"108.18029,26.500009",贵州省凯里市黔东南苗族侗族自治州雷山县西江镇南贵村,1280
瑞金红井,"116.014033,25.885686",江西省赣州市瑞金市,2778
老虎滩海洋公园,"121.682278,38.88534",辽宁省大连市中山区滨海中路9号,1572
长沙生态动物园,"113.004733,28.040082",湖南省长沙市长沙县暮云镇西湖村道芙蓉南路,1348
武当山,"111.102943,32.511746",湖北省十堰市丹江口市武当山景区,1532
黄浦江游船,"121.503541,31.246287",上海市浦东新区滨江大道2852号靠近丰和路口东方明珠游船码头,1558
长隆水上乐园,"113.331236,23.005835",广东省广州市番禺区迎宾路长隆旅游度假区内,1094
云谷索道,"118.200449,30.127081",安徽省黄山市黄山风景区,2975
大慈恩寺（大雁塔）,"108.970566,34.222777",陕西省西安市雁塔区大雁塔南广场北侧,1198
梵净山,"108.781453,27.849178",中国贵州铜仁地区江口县梵净山,998
三亚千古情景区,"109.536751,18.296306",海南省三亚市河东区三亚海南省三亚市荔枝沟宋城三亚千古情景区,1756
北京杜莎夫人蜡像馆,"116.404547,39.903732",北京市东城区前门大街8号,1104
大明宫国家遗址公园,"108.968257,34.309657",陕西省西安市新城区自强东路585号大明宫国家遗址公园丹凤门,1356
罗蒙环球乐园,"121.549884,29.803631",浙江省宁波市鄞州区鄞州大道中段1099号/萧皋东路820号罗蒙环球城,1786
白石山世界地质公园,"114.689055,39.236145",河北省保定市涞源县城南15公里处白石山景区,1352
黄鹤楼,"114.309047,30.550272",湖北省武汉市武昌区蛇山,1054
西递村,"118.003549,29.91024",安徽省黄山市黟县西递镇西递村,1716
成都动物园,"104.113179,30.71559",四川省成都市成华区昭觉南路234号,1834
成都武侯祠,"104.054421,30.652343",四川省成都市武侯区武侯祠大街231号,1136
蓬莱阁,"120.760473,37.832144",山东省烟台蓬莱市迎宾路7号,1026
泸沽湖,"100.799558,27.668458",云南丽江市宁蒗彝族自治县东北部永宁乡,1114
乐山大佛,"103.779093,29.550402",四川省乐山市市中区凌云路2435号簏子街,1318
上海科技馆,"121.54785,31.224219",上海市浦东新区世纪大道2000号(近二号线上海科技馆站),874
锦绣中华民俗村,"113.993478,22.538498",广东省深圳市南山区深南大道9003号华侨城锦绣中华苏州街（近华侨城地铁站D出口）,860
南浔古镇,"120.435533,30.875529",浙江省湖州市南浔区南浔镇人瑞路51号,800
上海杜莎夫人蜡像馆,"121.480215,31.240715",上海市黄浦区南京西路2-68号新世界商厦10楼,1464
千岛湖,"119.027854,29.605088",浙江省杭州市淳安县梦姑路,946
清明上河图,"120.317836,29.146622",浙江省金华东阳市横店镇清明上河图,1350
上海海洋水族馆,"121.50818,31.246234",上海市浦东新区陆家嘴环路1388号（近东方明珠）,1674
长隆国际大马戏剧院,"113.339108,23.00889",广东省广州市番禺区迎宾路长隆欢乐世界东门侧,1272
镇北堡西部影城,"106.078785,38.620428",宁夏省银川市西夏区镇北堡西部影城,864
珠江夜游,"113.277534,23.121129",广东省广州市越秀区,1220
瘦西湖,"119.430517,32.419989",江苏省扬州市维扬区长春路118号,1360
西溪国家湿地公园,"120.074003,30.274637",浙江省杭州市西湖区天目山路518号,950
额济纳胡杨林,"101.22866788405202,42.01573989946502",内蒙古自治区阿拉善盟额济纳旗达来呼布镇西南28公里处,218
广州长隆旅游度假区,"113.322466,23.011606",广东省广州市番禺区番禺大道,666
虎丘,"120.587069,31.341637",江苏省苏州市金阊区山塘街虎丘山门内8号,812
北宫国家森林公园,"116.127198,39.868707",北京市丰台区长辛店镇大灰厂东路55号,1584
上海影视乐园,"121.319396,31.016693",上海市松江区车墩镇北松公路4915号,1028
关门山国家森林公园,"124.155593,41.14521",辽宁省本溪市本溪县山城子镇本溪水洞南13公里,246
杭州飞来峰,"120.107258,30.243005",浙江省杭州市西湖区灵隐路法云弄1号,3026
